TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,Lindi,DDD_CAR_C,DDD_CAR_E,DDD_CAR_NW,DDD_CAR_S,DDD_CAR_SE,DDD_CAR_SW,DDD_CAR_W
2025-06-15,22.8,33.2,26.5,83,3.4,5.0,2,188,1,45.43483904465213,0,1,0,0,0,0,0
2025-06-16,22.8,32.0,26.5,83,2.853333333333333,5.8,3,191,2,38.12962962962963,0,0,0,1,0,0,0
2025-06-17,23.2,30.9,25.8,83,2.853333333333333,7.8,3,167,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-18,21.0,31.4,24.8,78,2.853333333333333,7.8,3,161,2,38.12962962962963,0,1,0,0,0,0,0
2025-06-19,19.4,30.4,23.6,78,2.853333333333333,8.0,3,153,1,38.12962962962963,0,0,0,0,1,0,0
2025-06-20,19.5,31.0,25.0,80,2.853333333333333,4.7,2,168,1,38.12962962962963,0,0,0,0,1,0,0
2025-06-21,22.0,32.4,25.7,78,2.853333333333333,0.8,3,129,2,38.12962962962963,0,0,0,1,0,0,0
2025-06-22,22.0,31.8,25.4,84,2.853333333333333,6.5,3,130,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-23,22.8,30.3,25.4,83,2.853333333333333,4.2,4,150,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-24,21.6,31.0,25.4,78,2.853333333333333,7.3,4,135,2,38.12962962962963,0,1,0,0,0,0,0
2025-06-25,23.0,30.4,25.6,81,2.853333333333333,6.4,3,152,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-26,22.8,30.4,25.8,78,2.853333333333333,6.1,4,123,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-27,23.9,31.0,26.1,82,2.853333333333333,6.0,4,142,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-28,23.7,29.5,25.6,84,0.8,5.1,3,108,2,10.69055036344756,0,0,0,0,1,0,0
2025-06-29,22.8,30.6,25.1,82,2.853333333333333,3.0,4,143,2,38.12962962962963,0,0,0,0,1,0,0
2025-06-30,21.8,29.4,24.5,84,2.853333333333333,4.2,3,138,2,38.12962962962963,0,0,0,0,1,0,0
2025-07-01,21.8,31.4,25.6,79,0.458065,3.0,3,159,2,26.0,0,0,0,1,0,0,0
2025-07-02,21.4,31.8,25.4,79,0.458065,6.3,4,145,2,33.0,0,0,0,0,1,0,0
2025-07-03,21.4,30.4,25.6,80,0.458065,8.0,3,152,2,32.0,0,0,0,0,1,0,0
2025-07-04,23.2,25.8,23.6,86,0.458065,5.8,3,142,2,25.0,0,0,0,0,1,0,0
2025-07-05,21.0,28.4,23.8,87,0.458065,0.0,2,176,1,28.0,0,0,0,1,0,0,0
2025-07-06,21.2,28.0,24.2,91,1.0,2.6,2,155,1,18.0,0,1,0,0,0,0,0
2025-07-07,22.4,30.0,25.3,86,0.458065,0.0,3,154,1,19.0,0,0,0,0,1,0,0
2025-07-08,22.4,29.5,24.8,82,7.5,3.3,3,126,2,24.0,0,0,0,0,1,0,0
2025-07-09,21.2,28.4,23.8,81,0.458065,7.2,3,152,2,29.0,0,0,0,0,1,0,0
2025-07-10,19.2,29.2,22.9,82,0.458065,7.0,3,147,2,33.0,0,0,0,0,1,0,0
2025-07-11,18.8,29.4,23.3,81,0.458065,8.0,3,149,1,27.0,0,0,0,0,1,0,0
2025-07-12,19.6,28.4,23.0,89,0.458065,6.6,2,157,1,29.0,0,0,0,0,1,0,0
2025-07-13,21.2,30.0,24.5,86,0.2,2.6,3,153,1,28.0,0,0,0,1,0,0,0
2025-07-14,21.2,29.7,25.3,82,0.458065,3.4,3,152,2,31.0,0,0,0,0,1,0,0
2025-07-15,23.0,30.4,25.6,82,0.458065,4.4,4,158,2,32.0,0,0,0,1,0,0,0
2025-07-16,22.4,30.8,24.5,84,1.0,3.5,3,140,2,33.0,0,0,0,0,1,0,0
2025-07-17,19.6,30.0,23.3,83,0.458065,8.0,3,156,2,36.0,0,0,0,0,1,0,0
2025-07-18,19.7,30.0,24.5,76,0.458065,8.0,3,152,2,34.0,0,0,0,0,1,0,0
2025-07-19,19.0,31.0,23.3,77,0.458065,7.0,3,144,2,21.0,0,0,0,0,1,0,0
2025-07-20,18.4,30.2,23.0,78,0.458065,8.0,4,157,2,20.0,0,0,0,0,1,0,0
2025-07-21,18.0,29.0,22.4,82,0.458065,8.0,4,151,2,19.0,0,0,0,0,1,0,0
2025-07-22,18.0,31.2,23.0,81,0.458065,8.0,4,160,2,18.0,0,0,0,0,1,0,0
2025-07-23,19.2,30.6,24.0,80,0.458065,6.4,2,141,1,12.0,0,0,0,0,1,0,0
2025-07-24,20.8,30.4,24.2,81,0.458065,4.9,3,161,2,14.0,0,0,0,0,1,0,0
2025-07-25,21.0,28.8,25.0,84,2.0,5.7,3,146,2,18.0,0,0,0,0,1,0,0
2025-07-26,23.4,31.2,26.2,81,1.0,1.5,3,147,2,20.0,0,0,0,0,1,0,0
2025-07-27,22.0,32.8,26.8,77,0.458065,6.6,2,174,1,36.0,0,0,0,0,1,0,0
2025-07-28,21.4,31.4,25.7,81,0.458065,8.0,3,154,2,42.0,0,0,0,0,1,0,0
2025-07-29,21.2,27.0,24.2,86,0.6,6.7,3,146,2,40.0,0,0,0,0,1,0,0
2025-07-30,22.5,26.3,23.1,91,0.5,1.1,4,145,2,60.0,0,0,0,0,1,0,0
2025-07-31,22.0,29.0,24.2,84,0.4,0.3,3,140,2,62.0,0,0,0,0,1,0,0
2025-08-01,21.8,30.6,25.0,77,0.8,4.4,3,150,2,44.0,0,0,0,0,1,0,0
